transaction_id,customer_id,product_category,amount,quantity,payment_method,transaction_date
500000,100897,Toys,670.85,1,UPI,2024-12-22
500001,100465,Clothing,110.88,1,Wallet,2024-05-31
500002,101191,Electronics,378.66,4,UPI,2021-01-23
500003,101299,Clothing,178.91,2,Card,2021-03-08
500004,101205,Clothing,557.31,3,Netbanking,2022-09-18
500005,101029,Beauty,1293.15,3,Card,2021-07-25
500006,103672,Sports,928.04,3,Netbanking,2021-09-15
500007,104086,Electronics,383.87,1,Card,2022-06-30
500008,101619,Sports,1799.4,1,UPI,2023-03-19
500009,101500,Electronics,219.16,3,UPI,2021-09-10
500010,104235,Electronics,360.83,2,UPI,2024-04-27
500011,103118,Groceries,1402.59,3,UPI,2021-06-02
500012,101445,Electronics,313.63,2,Cash,2021-03-18
500013,103557,Beauty,1412.69,3,Card,2022-12-04
500014,101708,Clothing,4573.66,2,UPI,2022-06-24
500015,102934,Home,2185.94,3,Card,2022-12-26
500016,104962,Home,259.24,4,Card,2022-01-04
500017,101484,Books,932.01,4,Card,2022-07-22
500018,104655,Toys,708.49,1,UPI,2022-09-16
500019,101578,Beauty,5795.39,1,Card,2024-03-23
500020,102664,Groceries,4052.52,1,Cash,2021-06-04
500021,102277,Electronics,213.14,1,Card,2023-03-05
500022,103916,Home,2922.73,3,Card,2021-09-28
500023,100286,Clothing,307.94,4,Card,2022-07-16
500024,103135,Groceries,511.83,1,Card,2024-11-14
500025,103804,Electronics,573.25,2,Card,2023-12-28
500026,102333,Clothing,455.63,2,Netbanking,2021-05-12
500027,100500,Home,2352.78,1,Card,2023-04-25
500028,101204,Home,530.45,1,Card,2021-09-22
500029,103407,Beauty,2086.21,1,Card,2021-08-08
500030,104495,Clothing,6267.03,3,Card,2023-06-18
500031,102073,Groceries,2254.82,2,UPI,2023-07-26
500032,102778,Clothing,559.84,2,Card,2023-09-16
500033,101121,Books,1540.64,2,Card,2021-10-16
500034,102024,Electronics,966.09,4,Card,2024-01-08
500035,101666,Clothing,1903.04,3,Wallet,2023-01-21
500036,103291,Groceries,249.4,4,Card,2021-11-16
500037,104913,Electronics,1269.78,3,Card,2021-11-14
500038,104056,Clothing,1832.9,2,UPI,2022-05-02
500039,100939,Home,1768.71,2,Netbanking,2024-11-15
500040,102876,Clothing,4025.59,4,Card,2022-08-11
500041,100309,Electronics,122.22,2,UPI,2021-02-08
500042,101216,Home,559.17,1,Netbanking,2024-05-07
500043,100845,Groceries,826.78,3,Card,2023-08-01
500044,101659,Groceries,494.87,2,Wallet,2021-04-15
500045,103399,Groceries,494.91,1,UPI,2022-05-22
500046,102479,Beauty,282.49,4,UPI,2022-07-24
500047,104663,Electronics,2061.66,2,Wallet,2021-11-25
500048,101042,Groceries,2914.06,2,Card,2023-09-11
500049,101808,Groceries,153.1,3,UPI,2021-11-04
500050,101633,Home,251.96,2,Netbanking,2021-08-10
500051,101153,Beauty,361.23,3,Card,2022-10-18
500052,104964,Sports,903.54,4,Card,2023-11-17
500053,101909,Sports,1929.49,3,UPI,2022-11-04
500054,104700,Groceries,138.96,4,Card,2021-05-31
500055,101925,Toys,1265.4,2,UPI,2021-06-22
500056,100987,Clothing,244.08,1,UPI,2022-12-24
500057,100561,Electronics,4317.62,4,UPI,2023-09-06
500058,104296,Home,2798.47,2,UPI,2023-11-12
500059,100142,Home,3634.91,4,Card,2023-03-21
500060,104807,Electronics,184.68,2,Card,2023-05-27
500061,102058,Books,853.4,2,Cash,2022-09-13
500062,101218,Home,266.74,1,Card,2024-11-18
500063,103090,Clothing,1150.62,3,Card,2021-02-16
500064,100629,Groceries,367.91,1,Wallet,2024-02-23
500065,100337,Groceries,1816.91,4,Card,2024-09-20
500066,104135,Books,1289.4,1,UPI,2024-08-11
500067,102096,Sports,1067.25,2,Card,2023-06-09
500068,102575,Home,2143.12,2,Card,2023-04-20
500069,100868,Home,882.43,1,UPI,2022-07-24
500070,100287,Beauty,427.41,4,UPI,2022-06-22
500071,101819,Home,1213.33,3,Wallet,2024-08-13
500072,102517,Electronics,3827.62,3,UPI,2021-02-13
500073,103822,Sports,1153.03,2,Card,2022-08-20
500074,102491,Home,1241.87,3,Card,2021-01-22
500075,103914,Books,3325.45,3,Card,2021-08-14
500076,100545,Sports,919.01,4,Card,2022-07-03
500077,100299,Groceries,6788.09,3,UPI,2022-01-09
500078,100772,Electronics,258.74,1,Card,2022-09-05
500079,103860,Clothing,974.14,4,Card,2022-10-16
500080,103798,Sports,337.28,1,Wallet,2023-10-25
500081,100681,Groceries,774.68,2,UPI,2021-01-24
500082,100136,Home,274.43,4,Card,2023-04-13
500083,103430,Beauty,352.05,3,Card,2024-09-07
500084,104295,Groceries,334.08,4,Netbanking,2022-06-23
500085,103764,Sports,512.85,2,Cash,2022-01-07
500086,100981,Electronics,223.48,1,UPI,2024-10-20
500087,102917,Electronics,2038.73,2,Card,2023-07-02
500088,103785,Electronics,349.19,4,Netbanking,2023-12-29
500089,101262,Home,696.59,1,Wallet,2024-08-29
500090,102611,Books,69.42,1,Card,2024-01-01
500091,101545,Beauty,182.96,4,Cash,2024-06-23
500092,101102,Groceries,2769.18,2,Netbanking,2023-01-28
500093,104835,Electronics,2227.99,3,Card,2024-01-02
500094,104564,Home,2256.04,2,Card,2023-02-25
500095,102206,Electronics,685.92,3,UPI,2023-10-11
500096,100652,Beauty,233.13,2,Card,2021-02-09
500097,103633,Groceries,187.01,4,Card,2023-11-29
